ID,Preço,Variação,Variação (%),Horário
AALR3,None,None,None,22/01/2026 - 16:42:49
ABEV3,None,None,None,22/01/2026 - 16:42:49
AERI3,None,None,None,22/01/2026 - 16:42:49
AFLT3,None,None,None,22/01/2026 - 16:42:49
AGRO3,None,None,None,22/01/2026 - 16:42:49
AGXY3,None,None,None,22/01/2026 - 16:42:49
ALLD3,None,None,None,22/01/2026 - 16:42:49
ALOS3,None,None,None,22/01/2026 - 16:42:49
ALPA3,None,None,None,22/01/2026 - 16:42:49
ALPK3,None,None,None,22/01/2026 - 16:42:49
