ID,Preço,Variação,Variação (%),Horário
AALR3,None,None,None,22/01/2026 - 16:46:20
ABEV3,None,None,None,22/01/2026 - 16:46:20
AERI3,None,None,None,22/01/2026 - 16:46:20
AFLT3,None,None,None,22/01/2026 - 16:46:20
AGRO3,None,None,None,22/01/2026 - 16:46:20
AGXY3,None,None,None,22/01/2026 - 16:46:20
ALLD3,None,None,None,22/01/2026 - 16:46:20
ALOS3,None,None,None,22/01/2026 - 16:46:20
ALPA3,None,None,None,22/01/2026 - 16:46:20
ALPK3,None,None,None,22/01/2026 - 16:46:20
