ID,Preço,Variação,Variação (%),Horário
AALR3,None,None,None,22/01/2026 - 16:44:50
ABEV3,None,None,None,22/01/2026 - 16:44:50
AERI3,None,None,None,22/01/2026 - 16:44:50
AFLT3,None,None,None,22/01/2026 - 16:44:50
AGRO3,None,None,None,22/01/2026 - 16:44:50
AGXY3,None,None,None,22/01/2026 - 16:44:50
ALLD3,None,None,None,22/01/2026 - 16:44:50
ALOS3,None,None,None,22/01/2026 - 16:44:50
ALPA3,None,None,None,22/01/2026 - 16:44:50
ALPK3,None,None,None,22/01/2026 - 16:44:50
