id,Nome
JHSF3,JHSF Participacoes S.A.D
JSLG3,JSL S.A.D
KEPL3,Kepler Weber SAD
KLBN3,Klabin SAD
LAND3,Terra Santa Propriedades Agricolas SAD
LAVV3,LAVVI Empreendimentos Imobiliarios SAD
LEVE3,Mahle-Metal Leve S.A.D
LIGT3,Light S.A.D
LJQQ3,Lojas Quero-Quero SAD
LOGG3,Log Commercial Properties e Participacoes SAD
LOGN3,Log-In Logistica Intermodal SAD
LPSB3,LPS Brasil-Consultoria de Imoveis SAD
LREN3,Lojas Renner S.A.D
LUPA3,Lupatech S.A.D
LWSA3,LWSA S.A.D
MAPT3,Cemepe Investimentos S.A.D
MATD3,Hospital Mater Dei SAD
MBRF3,MBRF Global Foods Company S.A.D
MDIA3,M. Dias Branco SA Industria e Comercio de AlimentosD
MDNE3,Moura Dubeux Engenharia SAD
MEAL3,International Meal Company Alimentacao SAD
MELK3,Melnick Desenvolvimento Imobiliario SAD
MGLU3,Magazine Luiza S.A.D
MILS3,Mills Locacao Servicos e Logistica S.A.D
MLAS3,Multi Group S.AD
MNDL3,Mundial S.A.- Produtos de ConsumoD
MNPR3,Minupar Participacoes S.A.D
MOAR3,Monteiro Aranha S.A.D
MOTV3,Motiva Infraestrutura de Mobilidade SAD
MOVI3,Movida Participacoes SAD
MRVE3,MRV Engenharia e Participacoes S.A.D
MTRE3,Mitre Realty Empreendimentos e Participacoes SAD
MULT3,Multiplan Empreendimentos Imobiliarios SAD
MYPK3,Iochpe Maxion S.A.D
NATU3,Natura Cosmeticos SAD
NEOE3,Neoenergia SAD
NEXP3,Nexpe Participacoes SAD
NGRD3,Neogrid Participacoes SAD
NORD3,Nordon Industrias Metalurgicas S.A.D
NUTR3,Nutriplant Industria E Comercio S.A.D
OBTC3,Oranjebtc SA Educacao e InvestimentoD
ODPV3,OdontoPrev S.A.D
OFSA3,Ourofino S.A.D
OIBR3,Oi S.A.D
ONCO3,Oncoclinicas do Brasil Servicos Medicos SAD
OPCT3,OceanPact Servicos Maritimos SAD
ORVR3,Orizon Valorizacao de Residuos SAD
OSXB3,OSX Brasil S.A.D
PATI3,Panatlantica S.A.D
PCAR3,Companhia Brasileira de DistribuicaoD
PDGR3,PDG Realty SA Empreendimentos e ParticipacoesD
PDTC3,Padtec Holding SAD
PEAB3,Cia de Participacoes Alianca da Bahia RegisteredD
PETR3,Petroleo Brasileiro SAD
PFRM3,Profarma Distribuidora de Produtos Farmaceuticos SAD
PGMN3,Empreendimentos Pague Menos SAD
PINE3,Banco PINE S.A.D
PLAS3,Plascar Participacoes Industriais S.A.D
PLPL3,Plano & Plano Desenvolvimento Imobiliario LtdaD
PMAM3,Paranapanema S.A.D
PNVL3,Dimed S.A. Distribuidora de MedicamentosD
POMO3,Marcopolo SAD
POSI3,Positivo Tecnologia SAD
PRIO3,Prio SAD
PRNR3,Priner Servicos Industriais SAD
PSSA3,Porto Seguro S.A.D
PTBL3,PBG S.A.Registered ShsD
PTNT3,Pettenati S.A. Industria TextilD
QUAL3,Qualicorp Consultoria e Corretora de Seguros S.A.D
RADL3,Raia Drogasil S.A.D
RAIL3,Rumo SAD
RANI3,Irani Papel e Embalagem SAD
RAPT3,Randoncorp S.A.D
RCSL3,Recrusul SAD
RDOR3,Rede D'Or Sao Luiz SAD
RECV3,Petroreconcavo SAD
REDE3,Rede Energia S.A.D
RENT3,Localiza Rent A Car SAD
RRIOS,3Rio Alto Energias Renovaveis SAD
RNEW3,Renova Energia S.A.D
ROMI3,Romi SAD
RPAD3,Alfa Holdings S.A.D
RPMG3,Refinaria de Petroleos Manguinhos S.A.D
RSID3,Rossi Residencial S.A.D
RVEE3,Revee SAD
